round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,unweighted_error,noisy_weight,clean_weight,val_acc,val_f1
179,0.8382057766444513,0.5522862517542895,0.8224285714285714,0.8216207576760501,0.8666607142857143,0.7114245217153214,0.2885754782846786,0.7990714285714285,0.7976928842447979
180,0.8378089526244354,0.5552094281934912,0.82275,0.8219250102962574,0.8403571428571428,0.7121759603320137,0.2878240396679863,0.7989285714285714,0.7975172723967995
181,0.8296727037086453,0.6139151455873673,0.8234642857142858,0.8226108024391096,0.8351071428571428,0.7160049830499102,0.28399501695008983,0.7987857142857143,0.7973606382066288
182,0.8453310404044734,0.49878335132550156,0.8236071428571429,0.8227725653427344,0.8460178571428572,0.7139638866021208,0.28603611339787915,0.7998571428571428,0.7984399601727533
183,0.8363617650767418,0.5658214311708378,0.823625,0.8227899218852487,0.9135,0.7157896939054009,0.28421030609459896,0.7990714285714285,0.7976318956704194
184,0.8363656736036269,0.5657928724784456,0.8239464285714285,0.8231303806190056,0.8768214285714285,0.7114409256936367,0.2885590743063634,0.7984285714285714,0.7969798099871864
185,0.8375645481128446,0.5570069479347737,0.8244464285714286,0.8236894480145379,0.8554821428571429,0.7099556848142422,0.2900443151857577,0.7980714285714285,0.7966750375747735
186,0.8604660325825573,0.3780585021641527,0.8244642857142858,0.8237293519978592,0.8718928571428571,0.7100636690131894,0.2899363309868107,0.7990714285714285,0.7978017880224388
187,0.847552603381733,0.48169126745463053,0.8249285714285715,0.8242191328606199,0.7994464285714286,0.7118862915385868,0.28811370846141326,0.7985,0.7972733208436228
188,0.8279363714745557,0.626152613641463,0.8255892857142857,0.8248014551240669,0.8564107142857142,0.716448647749984,0.28355135225001604,0.7991428571428572,0.7978932764199629
189,0.8379708744225408,0.5540173401048887,0.8258392857142857,0.8250342283351225,0.8891428571428571,0.7134774160205897,0.28652258397941033,0.8017857142857143,0.8004956875595693
190,0.8301064536558862,0.6108426702837455,0.8260714285714286,0.825309774520037,0.8695714285714286,0.7119850274641523,0.2880149725358477,0.7996428571428571,0.7982962804008069
191,0.8313233162630292,0.6021895578406149,0.826125,0.8253639230241754,0.8963035714285714,0.7106929609504586,0.28930703904954136,0.8002142857142858,0.7989041942961386
192,0.8335686801802609,0.5860912095501576,0.825875,0.8251092887493907,0.9135535714285714,0.709550349843745,0.2904496501562551,0.7996428571428571,0.7983081794193778
193,0.8376848385036508,0.5561225219449613,0.8256785714285715,0.8249447896008875,0.8103392857142857,0.7064248016627914,0.2935751983372087,0.7985714285714286,0.7972498526564863
194,0.8426084776457083,0.5194586405623092,0.82625,0.8255055586674975,0.9289107142857143,0.7125994946328529,0.2874005053671471,0.8,0.7987271558933928
195,0.8339463199712676,0.5833666513414144,0.825875,0.8251357813209411,0.828875,0.7056855847698037,0.2943144152301963,0.7991428571428572,0.7978831772482202
196,0.823922744033743,0.6540706621424417,0.8266428571428571,0.8258881793113405,0.839375,0.7085725621801983,0.2914274378198017,0.8,0.7987154835362047
197,0.8279239974563783,0.6262394721445343,0.8276964285714286,0.8269566384806101,0.8525535714285715,0.7084771210401929,0.2915228789598072,0.8005714285714286,0.7992995846581147
198,0.839677973820201,0.5413905796652632,0.8277678571428572,0.8270149879780758,0.8266964285714286,0.7100581084920763,0.2899418915079236,0.8017857142857143,0.8005044939511944
199,0.8380429129356293,0.553486674888743,0.8285,0.8278101066793182,0.8139285714285714,0.7162876994412104,0.2837123005587895,0.8013571428571429,0.8001473960663621
200,0.8341656321081026,0.5817821015009528,0.8287857142857142,0.8280816033255199,0.90125,0.7221274875469343,0.27787251245306566,0.8036428571428571,0.8024459998162348
201,0.8367360047516632,0.5630844565223776,0.82875,0.8280223932095584,0.8470178571428572,0.7177788526580942,0.28222114734190584,0.8032142857142858,0.8020040866068976
202,0.8363206129417144,0.5661220869085293,0.8292142857142857,0.8284477437706201,0.8878928571428572,0.717484206639728,0.282515793360272,0.8033571428571429,0.8020948794768443
203,0.8216708887382707,0.6695154238966443,0.8292321428571429,0.828459929426737,0.870625,0.7150463252070274,0.2849536747929725,0.8022142857142858,0.8009552756614122
204,0.8470311819004585,0.48572116619017636,0.8297321428571428,0.8289498577854509,0.81675,0.7121743902564412,0.28782560974355864,0.8017857142857143,0.8005150425246139
205,0.845892796346258,0.49448043187715385,0.8297857142857142,0.8289761340425649,0.8450892857142858,0.7153651035131472,0.28463489648685286,0.8022142857142858,0.8008862611112179
206,0.8400985174798323,0.5382633010045461,0.8300714285714286,0.8292573112834528,0.8257857142857142,0.7193664857826362,0.2806335142173639,0.8025714285714286,0.8012404715572451
207,0.8582056223558296,0.39675881687698156,0.8310535714285714,0.8302684096718037,0.878,0.7229640625295958,0.27703593747040434,0.8038571428571428,0.802492753039312
208,0.8303248666846932,0.6092931757798674,0.8307142857142857,0.8299064145767463,0.8818392857142857,0.7239223766434599,0.27607762335653996,0.8045,0.8031326609569017
209,0.8307548559814035,0.6062380450260705,0.8311428571428572,0.8304104479646164,0.8763392857142858,0.7212359320499027,0.2787640679500972,0.8032857142857143,0.8019442820923063
210,0.8499807965093944,0.46277412962163744,0.8313214285714285,0.8306087496160014,0.8751607142857143,0.7210189431038643,0.27898105689613584,0.8033571428571429,0.802037535382566
211,0.8434407665848198,0.5131693278365381,0.8313571428571429,0.8305905716463619,0.8471964285714285,0.7188951443797562,0.2811048556202437,0.8037857142857143,0.8023743785123637
212,0.8312644674907742,0.6026091738161024,0.8320714285714286,0.8313312216777382,0.8958571428571429,0.721222360434788,0.27877763956521207,0.8044285714285714,0.8030656736625061
213,0.8435293308540301,0.5124984779757384,0.832,0.8312882393906209,0.9157678571428571,0.7178865067381989,0.2821134932618012,0.8037142857142857,0.8023905919019529
214,0.8331089223049412,0.5894015548997833,0.8316428571428571,0.8309358210344178,0.8740357142857142,0.7130538615852982,0.28694613841470173,0.8026428571428571,0.8013141525540396
215,0.832814546722515,0.591517287878752,0.8309464285714285,0.8302296788903906,0.8234107142857143,0.7100486047973829,0.28995139520261703,0.8024285714285714,0.8011292298490531
216,0.841769177887464,0.5257736025994426,0.83225,0.8315489508872433,0.8906071428571428,0.7175691968825126,0.2824308031174871,0.8035,0.8022390606786237
217,0.827912327620568,0.6263213831583192,0.8314464285714286,0.8307493885080378,0.8789821428571428,0.7145421099883141,0.28545789001168576,0.8034285714285714,0.8021784372359025
218,0.8614734241740472,0.36964256060208855,0.8320178571428571,0.8312679949877315,0.8249285714285715,0.7105140494349795,0.2894859505650206,0.8039285714285714,0.8026745407941224
219,0.8402573050720075,0.537080780903779,0.8321071428571428,0.831375988223396,0.797375,0.7148089840614215,0.28519101593857865,0.8047142857142857,0.803500514603015
220,0.8501352427873655,0.46156240015807715,0.8328214285714286,0.8320349897204755,0.8488571428571429,0.7214320544752532,0.27856794552474684,0.806,0.8047085366913713
221,0.8494811257449235,0.4666873412049326,0.8334285714285714,0.8326388420646837,0.9068214285714286,0.7243691448525369,0.2756308551474631,0.8052857142857143,0.8039739173899039
222,0.8292087123596918,0.6171949608054841,0.8331964285714286,0.8324009663946065,0.8643214285714286,0.7213210468571082,0.2786789531428919,0.8047142857142857,0.8033771882350775
223,0.8518979087881433,0.44765972449574876,0.83275,0.8319573934238388,0.8481071428571428,0.7196993382902196,0.28030066170978046,0.8037142857142857,0.8024184702896726
224,0.8684760097941618,0.30967388461489675,0.833,0.8322151053130449,0.8945178571428571,0.7210628793923188,0.27893712060768105,0.8049285714285714,0.8036562183643772
225,0.8609056817601666,0.3743918754117439,0.8329642857142857,0.8322261482253153,0.8655892857142857,0.7221514757063189,0.27784852429368123,0.8047142857142857,0.8034636983715882
226,0.8458727392536214,0.494634285101504,0.8333571428571429,0.8325608224505332,0.8843214285714286,0.7219110205595136,0.2780889794404864,0.8052142857142857,0.8038687722850874
227,0.8423866250229475,0.5211305342991936,0.8337857142857142,0.8329906854284473,0.8533571428571428,0.7191883157619074,0.2808116842380925,0.805,0.8036428060608177
228,0.833739347519272,0.5848605093318784,0.8340535714285714,0.8332879570861277,0.8650178571428572,0.7212781365121046,0.27872186348789546,0.8048571428571428,0.8035725926897431
229,0.8496153139455449,0.46563748700730945,0.83425,0.8334972551988761,0.8896964285714286,0.7196009996640604,0.2803990003359394,0.8050714285714285,0.803761359760963
230,0.8329678203138114,0.590416053576996,0.8345357142857143,0.8337735329881542,0.8737857142857143,0.7180617950046557,0.2819382049953444,0.8053571428571429,0.8040589114311147
231,0.8346907240951241,0.5779814302315811,0.8345535714285715,0.8338431002386886,0.8934107142857143,0.7180184369385008,0.28198156306149924,0.8056428571428571,0.8044562240102966
232,0.846976283982487,0.48614479912740705,0.8343214285714285,0.8336246987778415,0.861125,0.7158749306998063,0.28412506930019377,0.8056428571428571,0.8044627383138045
233,0.8304593429756814,0.6083383668648434,0.8346071428571429,0.8338785117330849,0.8834107142857143,0.7165357070103369,0.28346429298966314,0.8057857142857143,0.8045386723083483
234,0.8371276157748375,0.5602150257002176,0.8353035714285715,0.8345841569828026,0.88875,0.712219608950585,0.2877803910494152,0.8057142857142857,0.8044092615299107
235,0.8413576347450182,0.5288601520320435,0.8348571428571429,0.8341145869886908,0.8705357142857143,0.709847377107635,0.2901526228923649,0.8057142857142857,0.8043293507367485
236,0.8321115290772232,0.5965579915205386,0.8352142857142857,0.8344918590016203,0.8486607142857143,0.7104484442377479,0.28955155576225217,0.8063571428571429,0.8050340687595992
237,0.8299041111223435,0.6122767422419084,0.8363214285714285,0.8356178806592538,0.8667857142857143,0.7119237408072835,0.2880762591927164,0.8070714285714286,0.8057926615054244
238,0.8263688020246536,0.6371169098272298,0.8354821428571428,0.8347621492656672,0.8544285714285714,0.7084466375113058,0.2915533624886942,0.8062142857142857,0.804946911461373
239,0.8378544531229226,0.5548745449548802,0.8354464285714286,0.8347352941732588,0.8709464285714286,0.7075996268881328,0.29240037311186723,0.8072857142857143,0.806025559224414
240,0.8435348315881037,0.5124568012358206,0.8350178571428571,0.8343453246860871,0.8506071428571429,0.7099423533167042,0.2900576466832958,0.8077857142857143,0.8065562190472548
241,0.8424762576769693,0.5204552881185855,0.8352857142857143,0.8345862637568322,0.80375,0.7123737788915853,0.28762622110841474,0.8075,0.8062981218243351
242,0.837899748423881,0.5545410966844375,0.8362321428571429,0.8354728916106655,0.9025,0.7183690912427476,0.28163090875725244,0.8079285714285714,0.8066678875882329
243,0.8388971736608051,0.5471792706250511,0.8360714285714286,0.8353205024748618,0.8998571428571429,0.7154515050424388,0.2845484949575613,0.8067142857142857,0.8054530366053424
244,0.8276528881288168,0.6281412635579124,0.8364107142857143,0.8356418679089435,0.833125,0.7107990102261004,0.28920098977389974,0.8062142857142857,0.8049006750207266
245,0.8386846175165921,0.5487511906383038,0.8367678571428572,0.8359806882248517,0.8750892857142857,0.7139300686509096,0.2860699313490904,0.8068571428571428,0.8054861063247138
246,0.8287748973635631,0.6202550747279074,0.8369642857142857,0.8362521098461434,0.8709285714285714,0.7155948988822216,0.2844051011177785,0.8067142857142857,0.8054427523791878
247,0.8495824895789271,0.46589436766605696,0.8377321428571428,0.8370285214228135,0.8780357142857143,0.7120004748021467,0.2879995251978533,0.8071428571428572,0.8059262478927801
248,0.847954255690965,0.4785793117316226,0.8374464285714286,0.8367336028189722,0.8523214285714286,0.7120838378883421,0.28791616211165805,0.8066428571428571,0.8054066195500129
249,0.8550535558659295,0.42242479531573496,0.8372321428571429,0.8365280747290569,0.85825,0.7108118247184946,0.28918817528150564,0.8075714285714286,0.8063298091885258
250,0.8507157920326003,0.45699839907461226,0.8376071428571429,0.8368954888449467,0.8821964285714285,0.710378034320677,0.2896219656793231,0.8078571428571428,0.8065870484903565
251,0.8374185888999541,0.5580793933459745,0.8381428571428572,0.8375051078180892,0.8457678571428572,0.711992805125693,0.2880071948743071,0.8082142857142857,0.8070152442979828
252,0.8363097025120938,0.5662017878441845,0.8385535714285715,0.8378418691247477,0.8563571428571428,0.711720872140552,0.2882791278594479,0.8081428571428572,0.8068690343047503
253,0.8333373862521971,0.5877574836024513,0.8390714285714286,0.8383806487040253,0.8857142857142857,0.7144880403551596,0.2855119596448405,0.8087142857142857,0.8075036374291962
254,0.8376883716382291,0.556096536853623,0.8393392857142857,0.8386276793007459,0.86125,0.7128991929001751,0.2871008070998249,0.8087857142857143,0.8075309253702316
255,0.8454746557189412,0.4976845084806072,0.8389285714285715,0.838236646997492,0.8263035714285715,0.714340600151615,0.28565939984838495,0.8087142857142857,0.8074712282228227
256,0.8440505650649877,0.5085439929948783,0.8392321428571429,0.8385697602152401,0.8744821428571429,0.7127216696285448,0.287278330371455,0.8092142857142857,0.8080148456001567
257,0.8406461650280544,0.5341808440523672,0.8401071428571428,0.8394387697556285,0.8656428571428572,0.710261512059934,0.28973848794006596,0.8088571428571428,0.8076289930183462
258,0.8418245549163117,0.5253577807858261,0.8401607142857143,0.8394693622667944,0.8071071428571429,0.709703046734553,0.29029695326544697,0.8094285714285714,0.8081545611822548
