round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,unweighted_error,noisy_weight,clean_weight,val_acc,val_f1
682,0.884669054126269,0.07990836903173082,0.5081964285714285,0.49442486283475634,0.8295,,,0.5088571428571429,0.4935250020819118
683,0.8886495372724992,0.06010209507320741,0.509625,0.49510509135971026,0.897,,,0.5107857142857143,0.49473572598433935
684,0.8916607087041852,0.04470338862487555,0.5098928571428571,0.49478783128755116,0.902375,,,0.5110714285714286,0.4945433243420207
685,0.8870357676170925,0.06820525630169261,0.5097142857142857,0.49499963109609607,0.8511071428571428,,,0.5105714285714286,0.49421352367094296
686,0.8914060437207516,0.046020145780884425,0.5093392857142857,0.4945955162888381,0.8531964285714285,,,0.5103571428571428,0.49400794027889205
687,0.8897521689057604,0.054506228405114765,0.5093571428571428,0.4943007889671246,0.9200178571428571,,,0.5097857142857143,0.49319743559377727
688,0.8915468545871209,0.04529241229409431,0.5089107142857143,0.4947349259386861,0.9132142857142858,,,0.51,0.49469089856659404
689,0.8911120710596515,0.04753677749953478,0.5088571428571429,0.49483704439136894,0.91175,,,0.5098571428571429,0.4945589752131874
690,0.889553988332722,0.05551559814593099,0.5089107142857143,0.4950836264151467,0.9055178571428572,,,0.5103571428571428,0.4953458979968318
691,0.89031764889872,0.05161737022174728,0.5088214285714285,0.49475291324863396,0.9082142857142858,,,0.5097142857142857,0.49434680572459355
692,0.8920185787058988,0.042848402049540324,0.5084464285714285,0.4945414616120326,0.8895714285714286,,,0.5089285714285714,0.49378756027958504
693,0.887921447369061,0.06377064332913163,0.509,0.4950730327412116,0.86975,,,0.5092857142857142,0.4941582295891821
694,0.8860925675896987,0.07289463812118369,0.5086607142857142,0.49503452155290617,0.894125,,,0.5085,0.4935165481828602
695,0.8880849089543373,0.06294884441986115,0.5081785714285715,0.4940546213281708,0.8898392857142857,,,0.5089285714285714,0.49329905097113114
696,0.8908897721868891,0.048681252788673746,0.5082678571428572,0.49447532202797595,0.919125,,,0.5080714285714286,0.4928618297768093
697,0.887015795207083,0.06830490804243117,0.5083928571428571,0.49448080598473193,0.8525535714285715,,,0.5088571428571429,0.493611308809878
698,0.8912417149630614,0.046868376469839435,0.5086964285714286,0.49480253362347926,0.8647142857142858,,,0.5099285714285714,0.4947857611892066
699,0.8858809818067496,0.07394194541276233,0.5087142857142857,0.494342555903847,0.9309642857142857,,,0.5100714285714286,0.4943657419164168
700,0.8902900318283795,0.05175875997682011,0.5080892857142857,0.49367984956682687,0.8737321428571428,,,0.5092857142857142,0.4934888066527658
701,0.8917525439781822,0.04422788298076208,0.50775,0.4935997574352801,0.8923035714285714,,,0.5087142857142857,0.4930814660801749
702,0.8900948566372283,0.05275710025086111,0.5078035714285715,0.49382406781160204,0.8943214285714286,,,0.5082142857142857,0.4927690207987932
703,0.8915932885142319,0.04505225223993237,0.507875,0.4935856322771032,0.8934285714285715,,,0.5085714285714286,0.4927273415873339
704,0.8858454448404545,0.07411768032501209,0.5076428571428572,0.4929997880913892,0.91575,,,0.5078571428571429,0.4916155217066242
705,0.8893777538483176,0.0564118607925026,0.5074285714285715,0.4938795016794043,0.8996785714285714,,,0.5077857142857143,0.492984122905877
706,0.8897544396107679,0.05449465408390597,0.5080357142857143,0.49430361042164705,0.8999285714285714,,,0.5079285714285714,0.49297023910420446
707,0.8914070977531898,0.04601470144887121,0.5086607142857142,0.49489025270726367,0.8816071428571428,,,0.5085,0.4935290673134693
708,0.8904622792595215,0.05087640307275065,0.5085714285714286,0.4948380230444848,0.8825357142857143,,,0.5085,0.493442425173001
